COMPANY	CITY	STATE	FORBES	2005_CEI	2004_CEI
3M Company	St. Paul	MN	105	71	71
A.G. Edwards Inc.	St. Louis	MO	nan	43	43
Abbott Laboratories	Abbott Park	IL	100	71 71
Abercrombie & Fitch Co.	New Albany	OH	nan	71	71
ABN AMRO Holding N.V.	Chicago	IL	nan	86	86
Accenture Ltd.	New York	NY	nan	86	86
Adobe Systems Inc.	San Jose	CA	nan	86	86
Advanced Digital Information Corp.	Redmond	WA	nan	29	29
Advanced Micro Devices	Sunnyvale	CA	387	71	71
Aegon USA	New York	NY	nan	43	nan
Aetna Inc.	Hartford	CT	108	100	100
Affiliated Computer Services	Dallas	TX	460	86	86
Agilent Technologies Inc.	Palo Alto	CA	290	100	100
AIG (American International Group)	New York	NY	9	43	29
Air Products & Chemicals Inc.	Allentown	PA	281	86	71
Albertson's Inc.	Boise	ID	35	71	71
Allegheny Energy	Hagerstown	MD	nan	57	57
Allianz Life Insurance Co. of North America	Minneapolis	MN	nan	71	nan
The Allstate Corp.	Northbrook	IL	51	86	86
ALLTEL Corp	Little Rock	AR	265	29	0
Alston & Bird LLP	Atlanta	GA	nan	100	nan
Altria Group Inc. (Philip Morris Companies Inc.)	New York	NY	17	71	71
Amazon.com Inc.	Seattle	WA	303	71	71
American Airlines	Ft. Worth	TX	119	100	100
American Express Co.	New York	NY	62	100	100
American President Lines Ltd.	Oakland	CA	nan	43	43
Amgen Inc.	Thousand	CA	212	86	71
Anheuser-Busch Companies Inc.	St. Louis	MO	139	86	79
Apple Computer Inc.	Cupertino	CA	263	100	100
Applebee's International Inc.	Overland Park	KS	nan	86	86
Applied Materials Inc.	Santa Clara	CA	270	71	71
Aquila	Kansas City	MO	nan	29	29
Aramark Corp.	Philadelphia	PA	219	86	86
Archer Daniels Midland Co.	Decatur	IL	44	29	29
AT&T Corp.	Bedminster	NJ	56	100	100
Automatic Data Processing Inc.	Roseland	NJ	277	43	29
AutoZone Inc.	Memphis	TN	350	43	43
Avaya Inc. Ridge	Basking	NJ	451	100	100
Aventis Pharmaceuticals Inc.	Bridgewater	NJ	nan	86	86
Avnet Inc.	Phoenix	AZ	217	43	43
Avon Products	New York	NY	278	57	57
Baldor Electric Co.	Fort Smith	AR	nan	29	29
Baltimore Gas & Electric Co.	Baltimore	MD	nan	57	43
Bank of America Corp.	Charlotte	NC	18	86	86
Bank of New York Co.	New York	NY	293	86	86
Barnes & Noble Inc.	New York	NY	335	71	71
Bausch & Lomb Inc.	Rochester	NY	nan	100	100
Baxter International Inc.	Deerfield	IL	237	64	64
Bayer Corp.	Pittsburgh	PA	nan	29	29
BB&T Corp. Salem	Winston-	NC	312	43	14
Bear Creek Corp.	Medford	OR	nan	64	64
BellSouth Corp.	Atlanta	GA	87	86	86
Ben and Jerry's Homemade Inc.	South Burlington	VT	nan	71	71
Best Buy Co. Inc.	Richfield	MN	77	100	100
Biovail Pharmaceuticals Inc.	Bridgewater	NJ	nan	57	57
Blockbuster Inc.	Dallas	TX	nan	71	71
The Boeing Co.	Chicago	IL	25	86	86
Booz Allen Hamilton Inc.	McLean	VA	nan	86	86
Borders Group Inc.	Ann Arbor	MI	475	100	100
BP America	Warrenville	IL	nan	100	86
Bridgestone Americas Holding Inc. (Firestone)	Nashville	TN	nan	57	57
Bright Horizons Family Solutions Inc.	Watertown	MA	nan	86	71
Brinker International Inc.	Dallas	TX	492	86	nan
Bristol-Myers Squibb Co.	New York	NY	93	86	86
California State Automobile Association	San Francisco	CA	nan	100	71
Calpine Corp.	San Jose	CA	242	64	79
Campbell Soup Co.	Camden	NJ	297	71	71
Capital One Financial Corp.	McLean	VA	206	100	100
Caremark RX	Nashville	TN	73	57	nan
Cargill Inc.	Wayzata	MN	nan	100	100
Carlson Companies Inc.	Minnetonka	MN	nan	86	43
Caterpillar	Peoria	IL	57	57	57
Cendant Corp.	New York	NY	107	86	86
Cerner Corp.	Kansas City	MO	nan	57	29
CH2M HILL Companies, Ltd.	Englewood	CO	nan	86	nan
Chamberlin Edmonds & Associates Inc.	Atlanta	GA	nan	64	nan
The Charles Schwab Corp.	San Francisco	CA	411	100	100
Chevron Corp.	San Ramon	CA	6	100	86
ChoicePoint Inc.	Alpharetta	GA	nan	100	100
Chubb Corp.	Warren	NJ	161	100	100
Cigna Corp.	Philadelphia	PA	122	86	86
Cinergy Corp.	Cincinnati	OH	412	71	71
Cingular Wireless	Atlanta	GA	nan	86	86
Circuit City Stores Inc.	Richmond	VA	231	43	29
Cisco Systems	San Jose	CA	91	100	100
Citigroup Inc.	New York	NY	8	100	100
Clear Channel Communications Inc.	San Antonio	TX	239	86	nan
The Clorox Company	Oakland	CA	445	57	57
CMP Media LLC	Manhasset	NY	nan	100	86
The Coca-Cola Company	Atlanta	GA	92	71	71
Coca-Cola Enterprises	Atlanta	GA	123	57	57
Colgate-Palmolive Co.	New York	NY	210	79	79
Comcast Corp.	Philadelphia	PA	102	86	nan
Comerica Inc.	Detroit	MI	nan	64	nan
Compass Group North America	Charlotte	NC	nan	71	71
ConocoPhillips	Houston	TX	7	64	64
Consolidated Edison Co.	New York	NY	228	71	71
Continental Airlines	Houston	TX	232	86	86
Cooper Tire & Rubber	Findlay	OH	470	50	nan
Corning Inc.	Corning	NY	480	100	nan
Costco Wholesale Corp.	Issaquah	WA	29	57	43
Countrywide Financial Corp.	Calabasas	CA	150	86	nan
Cox Communications Inc.	Atlanta	GA	322	86	86
Cracker Barrel Group Inc.)	Lebanon	TN	nan	29	29
Credit Suisse First Boston	New York	NY	nan	100	86
CSX Corp.	Richmond	VA	269	57	nan
Cummins Inc.	Columbus	IN	257	100	86
D&B (The Dun & Bradstreet Corp.)	Short Hills	NJ	nan	43	43
Daimler Chrysler Corp.	Auburn Hills	MI	nan	100	86
Dana Corp.	Toledo	OH	201	57	43
Darden Restaurants	Orlando	FL	386	86	86
Dean Foods Co. Park	Franklin	IL	205	64	nan
Deere & Co.	Moline	IL	106	64	64
Dell Inc.	Round Rock	TX	28	100	100
Deloitte & Touche	New York	NY	nan	86	86
Delphi	Troy	MI	63	71	71
Delta Airlines Inc.	Atlanta	GA	138	86	86
Deluxe Corp.	Shoreview	MN	nan	71	71
Deutsche Bank	New York	NY	nan	100	100
Dole Food Co. Inc. Village	Westlake	CA	369	71	71
Dominion Resources Inc.	Richmond	VA	151	100	nan
Domino's Inc.	Ann Arbor	MI	nan	57	50
Donna Karan	New York	NY	nan	57	57
Dow Chemical Co.	Auburn Hills	MI	34	100	86
Dow Jones & Co. Inc.	New York	NY	nan	43	43
DPR Construction City	Redwood	CA	nan	57	57
DTE Energy Co.	Detroit	MI	296	71	86
Duke Energy	Charlotte	NC	86	71	71
DuPont (E. I. du Pont de Nemours)	Wilmington	DE	66	86	57
E*TRADE Financial Corporation	New York	NY	nan	86	86
EarthLink Inc.	Atlanta	GA	nan	86	86
Eastman Kodak Co.	Rochester	NY	153	100	100
Edison International	Rosemead	CA	187	71	71
Electronic Arts Inc. City	Redwood	CA	nan	93	93
Electronic Data Systems Corp.	Plano	TX	95	86	86
Eli Lilly & Co.	Indianapolis	IN	152	86	71
EMC Corp.	Hopkinton	MA	266	57	57
Emerson Electric Co.	St. Louis	MO	134	29	29
Entergy Corp.	New Orleans	LA	221	36	36
Ernst & Young	New York	NY	nan	100	86
Estee Lauder Companies	New York	NY	346	100	57
Exelon	Chicago	IL	145	71	nan
Exxon Mobil Corp.	Irving	TX	2	14	14
Faegre & Benson	Minneapolis	MN	nan	100	100
Fannie Mae	Washington	DC	nan	86	71
Federated Department Stores	Cincinnati	OH	133	86	86
FedEx Corp.	Memphis	TN	78	71	57
Fifth Third Bancorp	Cincinnati	OH	317	57	43
Fisher Scientific International	Hampton	NH	414	43	nan
Ford Motor Co.	Dearborn	MI	4	100	100
Franklin Templeton Investments	San Mateo	CA	nan	29	29
Freddie Mac	McLean	VA	nan	71	71
Freescale Semiconductor Inc.	Austin	TX	nan	100	nan
The Gallup Organization	Washington	DC	nan	57	57
Gannett Co. Inc.	McLean	VA	283	86	86
Gap Inc. Francisco	San	CA	130	100	86
Gateway Inc.	Poway	CA	495	71	71
Genentech Francisco	South San	CA	nan	86	86
General Dynamics Corp.	Falls Church	VA	115	43	57
General Electric Co.	Fairfield	CT	5	86	86
General Mills Inc.	Minneapolis	MN	197	100	86
General Motors Corp.	Milford	MI	3	86	86
Genuine Parts Co.	Atlanta	GA	245	29	29
Georgia Pacific	Atlanta	GA	109	71	71
The Gillette Co.	Boston	MA	215	86	86
GlaxoSmithKline Inc.	Philadelphia	PA	nan	100	86
Global Hyatt Corp.	Chicago	IL	nan	100	86
Golden West Financial Corp.	Oakland	CA	435	57	nan
The Goldman Sachs Group Inc.	New York	NY	59	100	100
Guidant Corp.	Indianapolis	IN	485	86	nan
H. E. Butt Grocery Co.	San Antonio	TX	nan	43	43
H. J. Heinz Co.	Pittsburgh	PA	259	29	29
The Hain Celestial Group Inc.	Melville	NY	nan	43	43
Hallmark Cards Inc.	Kansas City	MO	nan	71	57
Hannaford Brothers	Portland	ME	nan	86	86
Harrah's Entertainment Inc.	Las Vegas	NV	396	86	29
Harris	Chicago	IL	nan	86	86
Hartford Financial Services Co.	Hartford	CT	88	86	86
Harvard Pilgrim Health Care Inc.	Wellesley	MA	nan	86	86
Hasbro Inc.	Pawtucket	RI	nan	86	86
Health Net Inc. Hills	Woodland	CA	185	57	57
Heller, Ehrman, White & McAuliffe	San Francisco	CA	nan	86	86
The Hershey Company	Hershey	PA	436	50	nan
Hewitt Associates	Lincolnshire	IL	nan	86	86
Hewlett-Packard Co.	Palo Alto	CA	11	100	100
Hilton Hotels Corp.	Beverly Hills	CA	nan	86	57
Hoffmann-La Roche Inc.	Nutley	NJ	nan	86	86
The Home Depot Inc.	Atlanta	GA	13	86	71
Honeywell International Inc.	Morristown	NJ	75	86	86
Hormel Foods Corp.	Austin	MN	402	29	29
Host Marriott	Bethesda	MD	486	57	57
Hotels.com	Dallas	TX	nan	86	nan
Howard & Howard Attorneys, PC	Kalamazoo	MI	nan	50	50
HSBC USA Inc.	New York	NY	nan	86	nan
Humana Inc.	Louisville	KY	162	57	43
Illinois Tool Works Inc.	Glenview	IL	183	79	64
Imation Corp.	Oakdale	MN	nan	79	79
ING North America Insurance Corp.	Atlanta	GA	nan	57	nan
Instinet Group Inc.	New York	NY	nan	57	57
Intel Corp.	Santa Clara	CA	50	100	100
International Business Machines Corp.	Armonk	NY	10	100	100
International Paper Co.	Stamford	CT	70	86	86
24.0 Companies Inc.	Interpublic Group of	New York	NY	332	71
Intuit Inc.	Mountain	CA	nan	100	nan
J.C. Penney Company Inc.	Plano	TX	74	71	57
J.P. Morgan Chase & Co.	New York	NY	20	100	100
Jenner & Block	Chicago	IL	nan	100	86
John Hancock Financial Services Inc.	Boston	MA	nan	93	79
Johnson & Johnson	New	NJ	30	100	86
Kaiser Permanente	Oakland	CA	nan	100	86
KB Home	Los Angeles	CA	300	43	43
Keane Inc.	Boston	MA	nan	71	71
Kellogg Co.	Battle Creek	MI	234	71	71
Keyspan Corp	Brooklyn	NY	302	100	100
Kimberly-Clark	Irving	TX	135	86	71
Kimpton Hotel & Restaurant Group Inc.	San Francisco	CA	nan	100	100
KLA-Tencor	San Jose	CA	nan	79	79
Kmart Corp.	Troy	MI	113	43	57
Knight Ridder	San Jose	CA	nan	57	57
KPMG LLP	New York	NY	nan	100	86
Kraft Foods Inc.	Northfield	IL	nan	100	100
