COMPANY	CITY	STATE	FORTUNE	FORBES	AMLAW	CEI_2006
3M Company	St. Paul	MN	101	_	_	85.0
A.G. Edwards Inc.	St. Louis	MO	_	_	665	85.0
ABN AMRO Holding _.	Chicago	IL	_	_	_	65.0
ACNielsen	Schaumburg	IL	_	_	_	50.0
AEGON Insurance Group	Cedar Rapids	IA	_	_	_	35.0
ALLTEL Corp	Little Rock	AR	_	_	251	30.0
AMR Corp	Fort Worth	TX	_	_	105	100.0
APL Limited	Oakland	CA	_	_	_	30.0
AT&T Inc.	San Antonio	TX	39.0	_	_	100.0
Abbott Laboratories	Abbott Park	IL	_	_	93	50.0
Abercrombie & Fitch Co.	New Albany	OH	_	_	639	50.0
Accenture Ltd.	New York	NY	_	_	_	95.0
Adobe Systems Inc.	San Jose	CA	_	_	817	100.0
Advanced Digital Information Corp.	Redmond	WA	_	_	_	15.0
Advanced Micro Devices	Sunnyvale	CA	_	_	367	80.0
Aetna Inc.	Hartford	CT	_	_	91	100.0
Affiliated Computer Services	Dallas	TX	_	_	471	75.0
Agere Systems Inc.	Allentown	PA	_	_	904	100.0
Agilent Technologies Inc.	Palo Alto	CA	_	_	319	100.0
Air Products & Chemicals Inc.	Allentown	PA	_	_	282	75.0
Albertson's Inc.	Boise	ID	_	47.0	_	85.0
Allegheny Energy	Greensburg	PA	_	_	572	50.0
Alliant Energy Corp.	Madison	WI	_	_	549	60.0
Alliant Techsystems	Edina	MN	_	_	638	65.0
Allianz Life Insurance Co. of North America	Minneapolis	MN	_	_	_	100.0
Allstate Corp., The	Northbrook	IL	_	_	58	85.0
Alston & Bird LLP	Atlanta	GA	_	_	50	100.0
Amazon.com Inc.	Seattle	WA	_	_	272	65.0
American Express Co.	New York	NY	_	_	69	100.0
American Family Insurance Group	Madison	WI	_	_	323	75.0
American International Group Inc.	New York	NY	_	_	9	30.0
American Power Conversion Corp	West Kingston	RI	_	_	815	58.0
Amgen Inc.	Thousand Oaks	CA	_	_	181	85.0
Anheuser-Busch Companies Inc.	St. Louis	MO	_	_	146	100.0
Aon Corp.	Chicago	IL	_	_	237	95.0
Apple Computer Inc.	Cupertino	CA	159.0	_	_	100.0
Applebee's International Inc.	Overland Park	KS	_	_	_	80.0
Applied Materials Inc.	Santa Clara	CA	317.0	_	_	73.0
Aquila	Kansas City	MO	760.0	_	_	35.0
Aramark Corp.	Philadelphia	PA	215.0	_	_	80.0
Archer Daniels Midland Co.	Decatur	IL	_	_		56.0
Arnold & Porter	Washington	DC			39.0	100.0
AutoZone Inc.	Memphis	TN	378.0	_	_	25.0
Automatic Data Processing Inc.	Roseland	NJ	271.0	_	_	30.0
Avaya Inc.	Basking Ridge	NJ	434.0	_	_	100.0
Aventis Pharmaceuticals Inc.	Bridgewater	NJ	_	_	_	80.0
Avnet Inc.	Phoenix	AZ	212.0	_	_	30.0
Avon Products	New York	NY	281.0	_	_	30.0
BB&T Corp.	Winston-Salem	NC	292.0	_	_	25.0
BP America	Warrenville	IL	_	_	_	100.0
Bain & Company Inc.(and Bridgespan Group)	Boston	MA	_	_	_	100.0
Baldor Electric Co.	Fort Smith	AR	_			15.0
Ball Corporation	Broomfield	CO	374.0	_	_	58.0
Baltimore Gas & Electric Co.	Baltimore	MD	_	_	_	55.0
Bank of America Corp.	Charlotte	NC	12.0	_	_	100.0
