3M Co.	St. Paul, MN	100.0	nan	100.0	100.0	+	nan
A.T. Kearney Inc.	Chicago, IL	nan	nan	100.0	80.0	nan	nan
AAA Northern California, Nevada and	nan	nan	nan	nan	nan	nan	nan
nan	San Francisco, CA	nan	nan	100.0	100.0	nan	nan
Utah	nan	nan	nan	nan	nan	nan	Headquarters
Abbott Laboratories	Abbott Park, IL	96.0	nan	80.0	80.0	nan	Location
Abercrombie & Fitch Co.	New Albany, OH	578.0	nan	100.0	100.0	nan	nan
Accenture Ltd.	New York, NY	nan	nan	100.0	100.0	nan	nan
Acer Inc.	Irvine, CA	nan	nan	50.0	50.0	nan	nan
Adecco North America LLC	Melville, NY	nan	nan	85.0	85.0	nan	nan
Adobe Systems Inc.	San Jose, CA	651.0	nan	95.0	95.0	nan	2008 Fortune 1000
Advanced Micro Devices Inc.	Sunnyvale, CA	406.0	nan	75.0	80.0	nan	2008 Forbes 200
AEGON USA Inc.	Cedar Rapids, IA	nan	nan	40.0	40.0	nan	2008 AmLaw 200
Aetna Inc.	Hartford, CT	85.0	nan	100.0	100.0	+	nan
Affiliated Computer Services Inc.	Dallas, TX	423.0	nan	60.0	60.0	nan	2010 CEI Rating
Agilent Technologies Inc.	Santa Clara, CA	443.0	nan	100.0	100.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	2009 CEI Rating
Ahold USA Inc.	Quincy, MA	nan	nan	78.0	78.0	nan	nan
Air Products & Chemicals Inc.	Allentown, PA	258.0	nan	75.0	75.0	nan	nan
1bAkin, Gump, Strauss, Hauer & Feld LLP	Washington, DC	nan	29.0	100.0	100.0	nan	nan
Alaska Air Group Inc.	Seattle, WA	599.0	nan	100.0	100.0	nan	2a
Alcatel-Lucent	Murray Hill, NJ	nan	nan	100.0	100.0	+	2b
Alcoa Inc.	New York, NY	80.0	nan	100.0	85.0	nan	nan
Allegheny Energy Inc.	Greensburg, PA	623.0	nan	45.0	45.0	nan	nan
Alliant Energy Corp.	Madison, WI	607.0	nan	80.0	85.0	nan	nan
3bAlliant Techsystems Inc.	Edina, MN	594.0	nan	65.0	65.0	nan	nan
Allianz Life Insurance Co. of North	nan	nan	nan	nan	nan	nan	3c
nan	Minneapolis, MN	nan	nan	100.0	100.0	nan	nan
America	nan	nan	nan	nan	nan	nan	nan
Allstate Corp., The	Northbrook, IL	64.0	nan	100.0	100.0	nan	nan
Alston & Bird LLP	Atlanta, GA	nan	54.0	100.0	100.0	nan	5
Amazon.com Inc.	Seattle, WA	171.0	nan	95.0	80.0	nan	6
AMC Entertainment Inc.	Kansas City, MO	783.0	166.0	100.0	63.0	nan	nan
Ameren Corp.	St. Louis, MO	329.0	nan	70.0	45.0	nan	nan
American Express Co.	New York, NY	75.0	nan	100.0	100.0	+	nan
American Family Insurance Group	Madison, WI	352.0	nan	88.0	95.0	nan	nan
Ameriprise Financial Inc.	Minneapolis, MN	296.0	nan	100.0	100.0	+	nan
Amgen Inc.	Thousand Oaks, CA	173.0	nan	70.0	70.0	nan	nan
AMR Corp. (American Airlines)	Fort Worth, TX	109.0	nan	100.0	100.0	nan	nan
AmTrust Bank	Cleveland, OH	nan	nan	83.0	83.0	nan	nan
Andrews Kurth LLP	Houston, TX	nan	107.0	70.0	70.0	nan	nan
Anheuser-Busch Companies Inc.	St. Louis, MO	149.0	nan	100.0	100.0	nan	nan
Aon Corp.	Chicago, IL	263.0	nan	nan	100.0	100.0	nan	nan
Apple Inc.	Cupertino, CA	103.0	nan	nan	100.0	100.0	nan	nan
Applied Materials Inc.	Santa Clara, CA	270.0	nan	nan	100.0	88.0	nan	nan
Aramark Corp.	Philadelphia, PA	216.0	20.0	nan	75.0	75.0	nan	Headquarters
Archer Daniels Midland Co.	Decatur, IL	52.0	nan	nan	40.0	15.0	nan	nan
Arent Fox LLP	Washington, DC	nan	nan	127.0	100.0	100.0	nan	nan
Arnold & Porter LLP	Washington, DC	nan	nan	55.0	100.0	100.0	nan	nan
AstraZeneca PLC	Wilmington, DE	nan	nan	nan	80.0	80.0	nan	nan
AT&T Inc.	Dallas, TX	10.0	nan	nan	100.0	100.0	+	nan
Austin Radiological Assn.	Austin, TX	nan	nan	nan	53.0	53.0	nan	nan
Automatic Data Processing Inc.	Roseland, NJ	281.0	nan	nan	100.0	95.0	nan	nan
AutoZone Inc.	Memphis, TN	394.0	nan	nan	25.0	25.0	nan	nan
Avaya Inc.	Basking Ridge, NJ	nan	65.0	nan	85.0	85.0	+	2010 CEI Rating
Avis Budget Group Inc.	Parsippany, NJ	411.0	nan	nan	80.0	80.0	nan	nan
2009 CEI RatingAvnet Inc.	Phoenix, AZ	163.0	nan	nan	30.0	30.0	nan	nan
Avon Products Inc.	New York, NY	265.0	nan	nan	90.0	60.0	nan	1a
Bain & Co. Inc. (& Bridgespan Group Inc.)	Boston, MA	nan	nan	nan	100.0	100.0	nan	1b
Baker Botts LLP	Houston, TX	nan	nan	49.0	100.0	80.0	nan	nan
Baker & Daniels LLP	Indianapolis, IN	nan	nan	174.0	100.0	100.0	nan	nan
Baker & McKenzie	Chicago, IL	nan	nan	3.0	95.0	75.0	nan	nan
Baker, Donelson, Bearman, Caldwell &	nan	nan	nan	nan	nan	nan	nan	2c
nan	Memphis, TN	nan	nan	124.0	70.0	35.0	nan	nan
Berkowitz PC	nan	nan	nan	nan	nan	nan	nan	nan
Baldor Electric Co.	Fort Smith, AR	935.0	nan	nan	20.0	20.0	nan	nan
Ball Corp.	Broomfield, CO	336.0	nan	nan	43.0	58.0	nan	nan
Ballard Spahr LLP	Philadelphia, PA	nan	nan	98.0	100.0	80.0	nan	3c
Bank of America Corp.	Charlotte, NC	9.0	nan	nan	100.0	100.0	+	4
Bank of New York Mellon Corp., The	New York, NY	172.0	nan	nan	100.0	100.0	nan	nan
Barclays Capital	New York, NY	nan	nan	nan	95.0	90.0	+	nan
Barnes & Noble Inc.	New York, NY	446.0	nan	nan	100.0	100.0	nan	nan
BASF Corp.	Florham Park, NJ	nan	nan	nan	100.0	100.0	nan	nan
Bausch & Lomb Inc.	Rochester, NY	nan	167.0	nan	100.0	100.0	nan	nan
Baxter International Inc.	Deerfield, IL	236.0	nan	nan	80.0	80.0	nan	nan
Bayer Corp.	Pittsburgh, PA	nan	nan	nan	80.0	80.0	nan	nan
BB&T Corp.	Winston-Salem, NC	250.0	nan	nan	73.0	48.0	nan	nan
Best Buy Co. Inc.	Richfield, MN	66.0	nan	nan	100.0	100.0	nan	nan
Bingham McCutchen LLP	Boston, MA	nan	nan	30.0	100.0	100.0	+	nan
Black & Decker Corp., The	Towson, MD	372.0	nan	nan	50.0	55.0	nan	nan
