A.T. Kearney Inc. Chicago, IL	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan
AAA Northern California, Nevada and Utah Walnut Creek, CA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan
Abbott Laboratories Abbott Park, IL	l	l	nan	l	l	nan	l	l	l	l	l	nan	85.0	80.0	80.0	nan
Abercrombie & Fitch Co. New Albany, OH	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	607.0	nan
AbitibiBowater Inc. Greenville, SC	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	379.0	nan
Accenture Ltd. New York, NY	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan
Acer Inc. Irvine, CA	l	l	nan	nan	l	nan	l	l	l	nan	nan	nan	50.0	50.0	nan	nan
Adecco North America LLC Melville, NY	l	l	l	l	l	nan	l	l	l	nan	l	nan	85.0	85.0	nan	nan
5 pointsAdobe Systems Inc. San Jose, CA	l	l	l	l	nan	nan	l	l	l	l	l	nan	95.0	95.0	601.0	nan
Advance Auto Parts (Advance Holding) Roanoke, VA	l	nan	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	30.0	nan	461.0	5 points
Advanced Micro Devices Inc. Sunnyvale, CA	l	l	l	l	l	nan	l	l	l	w	l	nan	93.0	75.0	418.0	nan
AECOM Technology Corp. Los Angeles, CA	l	nan	nan	nan	nan	nan	l	nan	nan	nan	nan	nan	30.0	nan	458.0	15 points
AEGON USA Inc. Cedar Rapids, IA	nan	l	nan	l	l	nan	l	l	l	nan	nan	nan	40.0	40.0	nan	5 points
AES Corp., The Arlington, VA	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	158.0	5 points
Aetna Inc. Hartford, CT	l	l	l	l	l	4.0	l	l	l	l	l	nan	100.0	100.0	77.0	15 ptsw 7.5 pts
Affiliated Computer Services Dallas, TX	l	l	nan	nan	nan	nan	l	l	l	nan	l	nan	60.0	60.0	401.0	15 points
AFLAC Inc. Columbus, GA	l	nan	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	30.0	nan	152.0	nan
Agco Duluth, GA	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	306.0	nan
Agilent Technologies Inc. Santa Clara, CA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	425.0	nan
Ahold USA Inc. Quincy, MA	l	l	l	l	l	nan	l	l	l	w	nan	nan	78.0	78.0	nan	nan
AIG New York, NY	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	85.0	nan	nan
Air Products & Chemicals Inc. Allentown, PA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	75.0	248.0	nan
AK Steel Holding Corp. West Chester, OH	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	334.0	nan
Akin, Gump, Strauss, Hauer & Feld LLP Washington, DC	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	31
Alaska Air Group Inc. Seattle, WA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	591.0	nan
Alcatel-Lucent Murray Hill, NJ	l	l	l	l	l	4.0	l	l	l	l	l	nan	100.0	100.0	nan	nan
Alcoa Inc. New York, NY	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	90.0	nan
Aleris International Inc. Beachwood, OH	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	413.0	nan
Allegheny Energy Inc. Greensburg, PA	l	l	nan	l	nan	nan	l	nan	l	nan	nan	nan	45.0	45.0	630.0	nan
Allegheny Technologies Inc. Pittsburgh, PA	l	nan	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	30.0	nan	448.0	nan
Alliant Energy Corp. Madison, WI	l	l	nan	l	nan	nan	l	l	l	l	l	nan	80.0	80.0	588.0	nan
Alliant Techsystems Inc. Minneapolis, MN	l	l	l	nan	l	nan	l	l	l	nan	nan	nan	65.0	65.0	539.0	nan
nan	nan	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan
Allscripts-Misys Healthcare Solutions Inc.	Chicago, IL	l	nan	nan	nan	nan	nan	l	nan	l	w	nan	nan	43.0	nan	nan	nan
nan	Northbrook, IL	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	81.0	nan
Alston & Bird LLP	Atlanta, GA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	50.0
nan	Richmond, VA	l	l	nan	nan	nan	nan	l	nan	nan	nan	nan	nan	35.0	nan	160.0	nan
Amazon.com Inc.	Seattle, WA	l	l	l	nan	l	nan	l	l	l	l	l	nan	95.0	95.0	130.0	nan
