3M Co.	nan	St. Paul, MN	l	l	l	l	l	l	l	l	nan	100	106.0	nan
A.T. Kearney Inc.	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	nan
AAA Northern California, Nevada	Utah Insurance Exchange	Walnut Creek, CA	l	l	l	l	l	l	l	l	nan	100	nan	nan
Abercrombie & Fitch Co.	nan	New Albany, OH	l	l	l	l	l	l	l	l	nan	100	651.0	nan
Accenture Ltd.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	nan
Aetna Inc.	nan	Hartford, CT	l	l	l	l	l	l	l	l	nan	100	63.0	nan
Akin, Gump, Strauss, Hauer & Fel	LLP	Washington, DC	l	l	l	l	l	l	l	l	nan	100	nan	31.0
Alcatel-Lucent	nan	Murray Hill, NJ	l	l	l	l	l	l	l	l	nan	100	nan	nan
Alcoa Inc.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	127.0	nan
Alston & Bird LLP	nan	Atlanta, GA	l	l	l	l	l	l	l	l	nan	100	nan	49.0
American Express Co.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	88.0	nan
Ameriprise Financial Inc.	nan	Minneapolis, MN	l	l	l	l	l	l	l	l	nan	100	288.0	nan
AMR Corp. (American Airlines)	nan	Fort Worth, TX	l	l	l	l	l	l	l	l	nan	100	120.0	nan
Aon Corp.	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	298.0	nan
Apple Inc.	nan	Cupertino, CA	l	l	l	l	l	l	l	l	nan	100	56.0	nan
AT&T Inc.	nan	Dallas, TX	l	l	l	l	l	l	l	l	nan	100	7.0	nan
Automatic Data Processing Inc.	nan	Roseland, NJ	l	l	l	l	l	l	l	l	nan	100	265.0	nan
Avon Products Inc.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	228.0	nan
Bain & Co. Inc.	nan	Boston, MA	l	l	l	l	l	l	l	l	nan	100	nan	nan
Baker & McKenzie LLP	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	1.0
Bank of America Corp.	nan	Charlotte, NC	l	l	l	l	l	l	l	l	nan	100	5.0	nan
Bank of New York Mellon Corp., T	e (BNY Mellon)	New York, NY	l	l	l	l	l	l	l	l	nan	100	274.0	nan
Barclays Capital	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	nan
Barnes & Noble Inc.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	372.0	nan
Best Buy Co. Inc.	nan	Richfield, MN	l	l	l	l	l	l	l	l	nan	100	45.0	nan
Bingham McCutchen LLP	nan	Boston, MA	l	l	l	l	l	l	l	l	nan	100	nan	24.0
Blue Cross Blue Shield of Florida I	c.	Jacksonville, FL	l	l	l	l	l	l	l	l	nan	100	nan	nan
Blue Cross Blue Shield of Minnes	ta	Eagan, MN	l	l	l	l	l	l	l	l	nan	100	nan	nan
BMO Bankcorp Inc.	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	nan
Booz Allen Hamilton Inc.	nan	McLean, VA	l	l	l	l	l	l	l	l	nan	100	nan	nan
Boston Consulting Group	nan	Boston, MA	l	l	l	l	l	l	l	l	nan	100	nan	nan
Bristol-Myers Squibb Co.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	114.0	nan
Brown Rudnick LLP	nan	Boston, MA	l	l	l	l	l	l	l	l	nan	100	nan	162.0
Brown-Forman Corp.	nan	Louisville, KY	l	l	l	l	l	l	l	l	nan	100	729.0	nan
Bryan Cave LLP	nan	St. Louis, MO	l	l	l	l	l	l	l	l	nan	100	nan	48.0
Caesars Entertainment Corp.	nan	Las Vegas, NV	l	l	l	l	l	l	l	l	nan	100	264.0	nan
Campbell Soup Co.	nan	Camden, NJ	l	l	l	l	l	l	l	l	nan	100	299.0	nan
