company_name	location	cei_2002	cei_2003	forbes_1000
__	Yes, we have a company wide policy
__	Only in one or more subsidiaries or labor agreements
__	We do not have such a policy, but are working toward this in the next one year
__	We do not have such a policy
2.	Does your firm have a written policy barring employment discrimination based on, and using the words, “gender
	identity” or “gender expression?”
__	Yes, we have a company wide policy
__	Only in one or more subsidiaries or labor agreements
__	We do not have such a policy, but are working toward this in the next one year
__	We do not have such a policy
3.	Does your company offer health insurance coverage to your employees’ domestic partners?
__	We do not offer domestic partner health benefits and have no plans to offer them
__	We do not offer domestic partner health benefits, but plan to offer them in the next one year
__	Yes, to same-sex partners only
__	Yes, to opposite-sex partners only
Sexual orientation	___	___.1	___.2
Gender identity	___	___	___
Religion	___	___	___
Race/ethnicity	___	___	___
Gender	___	___	___
Other	___	___	___
Aetna Inc.	Hartford	CT	100
AMR Corp./American Airlines10,11	Dallas-Fort Worth Airport	TX	100
Apple Computer Inc.	Cupertino	CA	100
Avaya Inc.	Basking Ridge	NJ	100
Eastman Kodak Co.10	Rochester	NY	100
Intel Corp.	Santa Clara	CA	100
J.P. Morgan Chase & Co.	New York	NY	100
Lucent Technologies Inc.	Murray Hill	NJ	100
NCR Corp.	Dayton	OH	100
Nike Inc.10	Beaverton	OR	100
Replacements Ltd.	Greensboro	NC	100
Worldspan L.P.	Atlanta	GA	100
Xerox Corp.	Stamford	CT	100
ABN AMRO	Chicago	IL	86
Accenture	Chicago	IL	86
Agilent Technologies Inc.10	Wilmington	DE	86
American Express Co.	New York	NY	86
AOL Time Warner Inc.	New York	NY	86
AT&T12	New York	NY	86
Bank of America Corp.	Charlotte	NC	86
Bank One Corp.	Chicago	IL	86
Bausch & Lomb Inc.	Rochester	NY	86
BellSouth Corp.	Atlanta	GA	86
Booz Allen Hamilton	McLean	VA	86
BP (formerly BP Amoco) 10	Chicago	IL	86
Capital One Financial Corp.10	Falls Church	VA	86
ChevronTexaco Corp.	San Ramon	CA	86
Chubb Corp.	Warren	NJ	86
