company_name	location	cei_2003	cei_2004	forbes_1000
Unnamed: 0	95%	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	100	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28
	93%										2003																			
																														2003
80											2002				85															
		74%																												2002
				71%		70%																								
						67%							80																	
				61%																										
60																														
		55%						57%																						
								43%																						
40													60		57															
20																		44							43.0					
										9%			40					36												
											6%																			
0																					33 30						32.0			
	1	2		3		4		5		6																28				
													21											21						
1	Non-discrimination policy covers sexual orientation												20																	
													11																	
2Diversity training																	7			5								5 6		
																							1							2
3	Advertising and philanthropy												0																	
													100%		86%		79%	71%		64%	57%		50%	43%		29%		14%		0%
4Domestic partner benefits																														
													(Percentages in gray indicate that these scores were not available to																	
45	Employee resource group												companies in 2002. Allowing half credit on the employee resource																	
													group indicator created additional score possibilities.)																	
6Non-discrimination policy covers gender identity and expression																														
Dental	____	____.1
Vision	____	____
Dependent medical coverage	____	____
COBRA/COBRA-like benefits	____	____
Bereavement leave	____	____
FMLA-like leave	____	____
Life insurance	____	____
Relocation/travel assistance	____	____
Unnamed: 0	All employees	Some employees	No employees are	Not
	are required	are required	required to attend, but	offered
Diversity Topic	to attend	to attend	training is offered	
Sexual orientation	___	___	___	___
Gender identity	___	___	___	___
Religion	___	___	___	___
Race/ethnicity	___	___	___	___
Gender	___	___	___	___
Other	___	___	___	___
American Airlines (AMR Corp.)Dallas-Fort Worth AirportTX100
Avaya Inc.Basking RidgeNJ100
Capital One Financial Corp.Falls ChurchVA100
Hewlett-Packard Co.Palo AltoCA100
Intel Corp.Santa ClaraCA100
Lehman Brothers HoldingsNew YorkNY100
Lucent Technologies Inc.Murray HillNJ100
NCR Corp.DaytonOH100
PG&E Corp.San FranciscoCA100
S.C. Johnson & Son Inc.RacineWI100
Agilent Technologies Inc.Palo AltoCA86
American Express Co.New YorkNY86
AT&T Corp.New YorkNY86
BellSouth Corp.AtlantaGA86
Booz Allen Hamilton Inc.McLeanVA86
Cargill Inc.MinneapolisMN86
Charles Schwab (The Charles Schwab Corp.)San FranciscoCA86
Chubb Corp.WarrenNJ86
Cisco SystemsSan JoseCA86
Continental AirlinesHoustonTX86
Darden RestaurantsOrlandoFL86
Electronic Data Systems Corp. (EDS)PlanoTX86
Federated Department StoresCincinnatiOH86
Ford Motor Co.DearbornMI86
14HRC CORPORATE EQUALITY INDEX 2003
Limited Brands Inc.	Columbus	OH	86
Lincoln National Corp.	Philadelphia	PA	86
McGraw-Hill (The McGraw-Hill Companies Inc.)	New York	NY	86
McKinsey & Co. Inc.	New York	NY	86
Mellon Financial Corp.	Pittsburgh	PA	86
Merck & Co. Inc.	Whitehouse Station	NJ	86
Merrill Lynch & Co.	New York	NY	86
Microsoft Corp.	Redmond	WA	86
Morgan Stanley	New York	NY	86
Motorola Inc.	Schaumburg	IL	86
Nationwide	Columbus	OH	86
New York Times Co.	New York	NY	86
Nordstrom Inc.	Seattle	WA	86
Washington Mutual Savings Bank	Seattle	WA	86
Wellpoint Health Networks	Thousand Oaks	CA	86
Wells Fargo & Co.	San Francisco	CA	86
Xcel Energy	Minneapolis	MN	86
Anheuser-Busch	St. Louis	MO	79
Calpine Corp.	San Jose	CA	79
Colgate-Palmolive Co.	New York	NY	79
Ernst & Young	New York	NY	79
Northrop Grumman Corp.	Los Angeles	CA	79
Reebok International	Stoughton	MA	79
UnumProvident Corp.***	Portland	ME	79
3M (Minnesota Mining and Manufacturing)	St. Paul	MN	71
Abbott Laboratories	Abbot Park	IL	71
Air Products & Chemicals Inc.	Allentown	PA	71
Amazon.com	Seattle	WA	71
Amgen Inc.	Thousand Oaks	CA	71
Applied Materials Inc.	Santa Clara	CA	71
Bristol-Myers Squibb Co.	New York	NY	71
Campbell Soup Co.	Camden	NJ	71
Cinergy Corp.	Cincinnati	OH	71
Coca-Cola (The Coca-Cola Co.)	Atlanta	GA	71
Consolidated Edison Co.	New York	NY	71
Cummins Inc.	Columbus	IN	71
Dell Computer Corp.	Austin	TX	71
Delphi Automotive	Troy	MI	71
Delta Airlines Inc.	Atlanta	GA	71
Dole Food Co. Inc.	Westlake Village	CA	71
DTE Energy Co	Detroit	MI	71
Duke Energy	Charlotte	NC	71
Edison International	Rosemead	CA	71
Eli Lilly & Co.	Indianapolis	IN	71
Freddie Mac	McLean	VA	71
Gateway Inc.	North Sioux City	SD	71
Georgia Pacific	Atlanta	GA	71
Interpublic Group of Companies Inc.	New York	NY	71
Johnson & Johnson	New Brunswick	NJ	71
Kellogg Co.	Battle Creek	MI	71
Kimberly-Clark	Dallas	TX	71
Lockheed Martin Corp.	Bethesda	MD	71
Northeast Utilities System	Berlin	CT	71
Northwest Airlines Corp.	Eagan	MN	71
Oracle Corp.	Redwood Shores	CA	71
PepsiCo Inc.	Purchase	NY	71
Pitney Bowes Inc.	Stamford	CT	71
PPG Industries	Pittsburgh	PA	71
Principal Financial Group	Des Moines	IA	71
Providian Financial Corp.	San Francisco	CA	71
QUALCOMM Inc.	San Diego	CA	71
Ryder System Inc.	Miami	FL	71
Sara Lee Corp.	Chicago	IL	71
SunTrust Banks Inc.	Atlanta	GA	71
Supervalu	Eden Prairie	MN	71
Tech Data Corp.	Clearwater	FL	71
Altria Group Inc. (Philip Morris Companies Inc.)	New York	NY	57
Avon Products	New York	NY	57
Barnes & Noble Inc.	New York	NY	57
Caterpillar	Peoria	IL	57
Clorox Co.	Oakland	CA	57
DPR Construction	Redwood City	CA	57
DuPont (E. I. du Pont de Nemours)	Wilmington	DE	57
EMC Corp.	Hopkinton	MA	57
Estee Lauder Companies	New York	NY	57
Gap Inc.	San Francisco	CA	57
General Dynamics Corp.	Falls Church	VA	57
Hallmark Cards Inc.	Kansas City	MO	57
Health Net Inc.	Woodland Hills	CA	57
Hilton Hotels Corp.	Beverly Hills	CA	57
Home Depot	Atlanta	GA	57
Host Marriott	Bethesda	MD	57
J.C. Penney Corp. Inc.	Plano	TX	57
Kmart Corp.	Troy	MI	57
Kroger Co., The	Cincinnati	OH	57
Liz Claiborne Inc.	New York	NY	57
MassMutual Life Insurance	Springfield	MA	57
Mattel Inc.	El Segundo	CA	57
MBNA Corp.	Wilmington	DE	57
McDonald’s Corp.	Oakbrook	IL	57
Navistar International	Warrenville	IL	57
Nextel Communications	Reston	VA	57
Owens Corning	Toledo	OH	57
PPL Corp.	Allentown	PA	57
Progressive (The Progressive Corp.)	Mayfield Village	OH	57
Safeway Inc.	Oakland	CA	57
Software House International	Somerset	NJ	57
Williams Companies Inc.	Tulsa	OK	57
Pathmark Stores Inc.	Woodbridge	NJ	50
Anthem	Indianapolis	IN	43
AutoZone Inc.	Memphis	TN	43
Avnet Inc.	Great Neck	NY	43
