company_name	location	cei_2016	cei_2015	forbes_1000
3M Co.	St. Paul, MN		100.0	85.0
A.T. Kearney Inc.	Chicago, IL		80.0	
	San Francisco, CA		100.0	100.0
Abbott Laboratories	Abbott Park, IL		80.0	75.0
Abercrombie & Fitch Co.	New Albany, OH		100.0	100.0
Accenture Ltd.	New York, NY		100.0	100.0
Acer Inc.	Irvine, CA		50.0	65.0
Adecco North America LLC	Melville, NY		85.0	
Adobe Systems Inc.	San Jose, CA		95.0	100.0
Advanced Micro Devices Inc.	Sunnyvale, CA		80.0	80.0
AEGON USA Inc.	Cedar Rapids, IA		40.0	40.0
Aetna Inc.	Hartford, CT		100.0	100.0
Affi liated Computer Services	Dallas, TX		60.0	80.0
Agilent Technologies Inc.	Santa Clara, CA		100.0	100.0
Ahold USA Inc.	Quincy, MA		78.0	78.0
Air Products & Chemicals Inc.	Allentown, PA		75.0	75.0
	Washington, DC	25.0	100.0	100.0
Alaska Airlines	Seattle, WA		100.0	95.0
Alcatel-Lucent	Murray Hill, NJ		100.0	100.0
3aAlcoa Inc.	New York, NY		85.0	
Allegheny Energy	Greensburg, PA		45.0	30.0
Alliant Energy Corp.	Madison, WI		85.0	80.0
Alliant Techsystems	Edina, MN		65.0	65.0
	Minneapolis, MN		100.0	100.0
"Allstate Corp., The"	Northbrook, IL		100.0	100.0
ALLTEL Corp.	Little Rock, AR		80.0	80.0
Alston & Bird LLP	Atlanta, GA	55.0	100.0	100.0
Amazon.com Inc.	Seattle, WA		80.0	80.0
AMC Entertainment Inc.	Kansas City, MO		63.0	
Ameren Corp.	St. Louis, MO		45.0	
American Express Co.	New York, NY		100.0	100.0
American Family Insurance Group	Madison, WI		95.0	90.0
American International Group Inc.	New York, NY		85.0	30.0
American Power Conversion Corp.	West Kingston, RI		63.0	58.0
Ameriprise Financial Inc.	Minneapolis, MN		100.0	100.0
Amgen Inc.	Thousand Oaks, CA		70.0	85.0
AMR Corp. (American Airlines)	Fort Worth, TX		100.0	100.0
AmTrust Bank	Cleveland, OH		83.0	75.0
Andrews Kurth LLP	Houston, TX	103.0	70.0	65.0
Anheuser-Busch Companies Inc.	St. Louis, MO		100.0	100.0
Aon Corp.	Chicago, IL		100.0	100.0
Apple Inc.	Cupertino, CA		100.0	100.0
Applied Materials Inc.	Santa Clara, CA		88.0	93.0
Aquila	Kansas City, MO		35.0	35.0
Aramark Corp.	Philadelphia, PA		75.0	80.0
Archer Daniels Midland Co.	Decatur, IL		15.0	15.0
Arent Fox LLP	Washington, DC	139.0	100.0	75.0
Arnold & Porter LLP	Washington, DC	51.0	100.0	100.0
AstraZeneca PLC	Wilmington, DE		80.0	85.0
AT&T Inc.	San Antonio, TX		100.0	100.0
Austin Radiological Assn.	Austin, TX		53.0	53.0
Automatic Data Processing Inc.	Roseland, NJ		95.0	95.0
AutoZone Inc.	Memphis, TN		25.0	25.0
Avaya Inc.	Basking Ridge, NJ		85.0	85.0
Avis Budget Group Inc.	Parsippany, NJ		80.0	60.0
Avnet Inc.	Phoenix, AZ		30.0	30.0
Avon Products Inc.	New York, NY		60.0	60.0
2cBain & Co. Inc. (& Bridgespan Group Inc.)	Boston, MA		100.0	100.0
Baker & Botts LLP	Houston, TX	48.0	80.0	85.0
Baker & Daniels LLP	Indianapolis, IN	172.0	100.0	95.0
Baker & McKenzie	Chicago, IL	3.0	75.0	
	Memphis, TN	128.0	35.0	
Baldor Electric Co.	Fort Smith, AR		20.0	25.0
Ball Corp.	Broomfi eld, CO		58.0	58.0
"Ballard, Spahr, Andrews & Ingersoll LLP"	Philadelphia, PA	100.0	80.0	80.0
Bank of America Corp.	Charlotte, NC		100.0	100.0
"Bank of New York Mellon Corp., The"	New York, NY		100.0	100.0
Barclays Capital	New York, NY		90.0	90.0
Barnes & Noble Inc.	New York, NY		100.0	63.0
BASF Corp.	Florham Park, NJ		100.0	95.0
Bausch & Lomb Inc.	Rochester, NY		100.0	100.0
Baxter International Inc.	Deerfi eld, IL		80.0	73.0
Bayer Corp.	Pittsburgh, PA		80.0	15.0
BB&T Corp.	Winston-Salem, NC		48.0	25.0
