company_name	location	cei_2016	cei_2015	forbes_1000
3M Co.	St. Paul, MN		100.0	106.0
A.T. Kearney Inc.	Chicago, IL		100.0	
"AAA Northern California, Nevada & Utah Insurance Exchange"	Walnut Creek, CA		100.0	
Abercrombie & Fitch Co.	New Albany, OH		100.0	651.0
Accenture Ltd.	New York, NY		100.0	
Aetna Inc.	Hartford, CT		100.0	63.0
"Akin, Gump, Strauss, Hauer & Feld LLP"	Washington, DC		100.0	
Alcatel-Lucent	Murray Hill, NJ		100.0	
Alcoa Inc.	New York, NY		100.0	127.0
Alston & Bird LLP	Atlanta, GA		100.0	
American Express Co.	New York, NY		100.0	88.0
Ameriprise Financial Inc.	Minneapolis, MN		100.0	288.0
AMR Corp. (American Airlines)	Fort Worth, TX		100.0	120.0
Aon Corp.	Chicago, IL		100.0	298.0
Apple Inc.	Cupertino, CA		100.0	56.0
AT&T Inc.	Dallas, TX		100.0	7.0
Automatic Data Processing Inc.	Roseland, NJ		100.0	265.0
Avon Products Inc.	New York, NY		100.0	228.0
Bain & Co. Inc.	Boston, MA		100.0	
Baker & McKenzie LLP	Chicago, IL		100.0	
Bank of America Corp.	Charlotte, NC		100.0	5.0
"Bank of New York Mellon Corp., The (BNY Mellon)"	New York, NY		100.0	274.0
Barclays Capital	New York, NY		100.0	
Barnes & Noble Inc.	New York, NY		100.0	372.0
Best Buy Co. Inc.	Richfield, MN		100.0	45.0
Bingham McCutchen LLP	Boston, MA		100.0	
Blue Cross Blue Shield of Florida Inc.	Jacksonville, FL		100.0	
Blue Cross Blue Shield of Minnesota	Eagan, MN		100.0	
BMO Bankcorp Inc.	Chicago, IL		100.0	
Booz Allen Hamilton Inc.	McLean, VA		100.0	
Boston Consulting Group	Boston, MA		100.0	
Bristol-Myers Squibb Co.	New York, NY		100.0	114.0
Brown Rudnick LLP	Boston, MA		100.0	
Brown-Forman Corp.	Louisville, KY		100.0	729.0
Bryan Cave LLP	St. Louis, MO		100.0	
